epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.721,0.53619,2.32985,1.12503,0.84568,0.24056,0.47378,0.24422,1.10337,2.50193,2.15843,0.000409091,0.000409091,0.000409091
2,27.0414,0.55472,1.59607,1.10673,0.69891,0.46571,0.47602,0.32694,0.88598,2.12802,1.79449,0.000812984,0.000812984,0.000812984
3,40.7311,0.58536,1.53612,1.12761,0.66439,0.26653,0.29146,0.13977,1.27391,2.75645,2.19813,0.00120399,0.00120399,0.00120399
4,54.18,0.59647,1.3558,1.12913,0.75849,0.45671,0.50399,0.36192,0.81749,2.15924,1.60368,0.00119199,0.00119199,0.00119199
5,67.8426,0.55621,1.26685,1.10143,0.81235,0.48271,0.52696,0.32701,1.14935,1.8745,1.99461,0.00117266,0.00117266,0.00117266
6,81.4645,0.57371,1.19882,1.11786,0.82532,0.5542,0.55064,0.39795,0.82641,1.47037,1.68002,0.00115332,0.00115332,0.00115332
7,95.2126,0.53397,1.11403,1.08971,0.77049,0.44651,0.3867,0.21771,1.53797,2.06884,2.34843,0.00113398,0.00113398,0.00113398
8,108.891,0.55514,1.08934,1.10061,0.86827,0.50389,0.57503,0.39606,0.98777,1.25592,1.73826,0.00111465,0.00111465,0.00111465
9,122.519,0.55283,1.07558,1.11159,0.83113,0.53442,0.5729,0.43733,0.7253,1.16636,1.53476,0.00109531,0.00109531,0.00109531
10,136.296,0.54222,0.98419,1.08535,0.77053,0.53506,0.49507,0.34049,0.8667,1.32876,1.74907,0.00107598,0.00107598,0.00107598
11,150.027,0.50889,0.92246,1.05365,0.82094,0.55251,0.60858,0.46462,0.8026,1.11232,1.66601,0.00105664,0.00105664,0.00105664
12,164.055,0.49356,0.92093,1.07798,0.81629,0.578,0.61593,0.49747,0.68633,1.03066,1.50958,0.0010373,0.0010373,0.0010373
13,178.051,0.46975,0.8758,1.03997,0.93066,0.57247,0.70836,0.60659,0.64947,0.7586,1.50605,0.00101797,0.00101797,0.00101797
14,192.101,0.45667,0.83779,1.03109,0.82907,0.51643,0.59377,0.38326,1.1844,1.30801,2.08777,0.000998633,0.000998633,0.000998633
15,205.949,0.47239,0.85552,1.05125,0.88971,0.59413,0.6395,0.53362,0.5794,0.74909,1.38491,0.000979297,0.000979297,0.000979297
16,219.838,0.50488,0.86963,1.07804,0.823,0.54896,0.5991,0.48721,0.68477,0.96676,1.50161,0.000959961,0.000959961,0.000959961
17,233.703,0.48732,0.80035,1.05507,0.85922,0.55208,0.63537,0.47083,0.83977,1.02956,1.66814,0.000940625,0.000940625,0.000940625
18,247.713,0.46479,0.79119,1.04421,0.9207,0.54205,0.65154,0.52964,0.6299,0.84159,1.42013,0.000921289,0.000921289,0.000921289
19,261.698,0.44236,0.73682,1.02096,0.86771,0.58675,0.65588,0.5665,0.5763,0.73781,1.32132,0.000901953,0.000901953,0.000901953
20,275.575,0.42651,0.71956,1.02066,0.92442,0.5808,0.6507,0.52918,0.63807,0.83009,1.38259,0.000882617,0.000882617,0.000882617
21,289.396,0.46458,0.77731,1.05541,0.95821,0.54611,0.72587,0.62552,0.57319,0.80319,1.35259,0.000863281,0.000863281,0.000863281
22,303.33,0.43724,0.72429,1.00546,0.87269,0.60383,0.6496,0.53995,0.63613,0.81604,1.40786,0.000843945,0.000843945,0.000843945
23,317.229,0.41188,0.66491,1.00759,0.98325,0.52563,0.64994,0.55425,0.55623,0.70158,1.28672,0.000824609,0.000824609,0.000824609
24,331.139,0.41229,0.70695,1.00954,0.86412,0.59656,0.61783,0.52428,0.56555,0.79134,1.32646,0.000805273,0.000805273,0.000805273
25,345.05,0.42189,0.7005,1.01883,0.89104,0.59793,0.70609,0.61118,0.5502,0.70451,1.32351,0.000785938,0.000785938,0.000785938
26,358.762,0.39752,0.65305,0.99173,0.88342,0.59948,0.69996,0.59585,0.56498,0.73637,1.33016,0.000766602,0.000766602,0.000766602
27,372.618,0.40099,0.59238,1.01265,0.92708,0.56822,0.73571,0.65087,0.49578,0.70843,1.29023,0.000747266,0.000747266,0.000747266
28,386.796,0.40063,0.64392,1.00716,0.90797,0.55444,0.68481,0.60631,0.48271,0.79594,1.26301,0.00072793,0.00072793,0.00072793
29,400.722,0.38609,0.60435,0.99797,0.94697,0.54956,0.72143,0.61844,0.57212,0.72991,1.38786,0.000708594,0.000708594,0.000708594
30,414.725,0.4151,0.60786,1.00834,0.9656,0.54923,0.65691,0.57907,0.53021,0.67407,1.34789,0.000689258,0.000689258,0.000689258
31,428.687,0.37873,0.58157,0.97855,0.94043,0.54542,0.69034,0.57697,0.62213,0.7562,1.38941,0.000669922,0.000669922,0.000669922
32,442.609,0.41248,0.60399,1.00557,0.9253,0.57323,0.63771,0.56497,0.55516,0.67133,1.33838,0.000650586,0.000650586,0.000650586
33,456.618,0.38638,0.5827,0.98076,0.86102,0.61377,0.95264,0.84934,0.49203,0.66322,1.2479,0.00063125,0.00063125,0.00063125
34,471.111,0.37522,0.57932,0.98651,0.90266,0.57676,0.95367,0.85398,0.49141,0.64023,1.29198,0.000611914,0.000611914,0.000611914
35,485.669,0.37507,0.55369,0.99086,0.91151,0.62955,0.65595,0.58374,0.48607,0.5412,1.28834,0.000592578,0.000592578,0.000592578
36,499.559,0.37839,0.57694,0.9801,0.88683,0.64862,0.67952,0.61342,0.47451,0.56539,1.24764,0.000573242,0.000573242,0.000573242
37,513.397,0.37997,0.557,0.9968,0.91589,0.58141,0.6788,0.60642,0.46815,0.61711,1.25351,0.000553906,0.000553906,0.000553906
38,527.275,0.34665,0.51263,0.96785,0.9216,0.56117,0.76508,0.68464,0.44872,0.60657,1.21438,0.00053457,0.00053457,0.00053457
39,541.202,0.37238,0.51719,0.98665,0.94658,0.57955,0.69441,0.62954,0.47441,0.57125,1.25255,0.000515234,0.000515234,0.000515234
40,555.189,0.36391,0.51785,0.9815,0.89939,0.58496,0.646,0.57912,0.48879,0.65534,1.28618,0.000495898,0.000495898,0.000495898
41,569.086,0.3648,0.55978,0.99208,0.87284,0.64058,0.67975,0.60681,0.48222,0.6169,1.26739,0.000476562,0.000476562,0.000476562
42,582.924,0.35586,0.51234,0.97258,0.92553,0.59413,0.6977,0.62644,0.47297,0.5603,1.24928,0.000457227,0.000457227,0.000457227
43,596.877,0.34282,0.51069,0.98125,0.90891,0.5419,0.69273,0.55607,0.741,0.91762,1.56152,0.000437891,0.000437891,0.000437891
44,610.834,0.34299,0.52555,0.97172,0.89889,0.63689,0.67427,0.61345,0.42589,0.51242,1.2042,0.000418555,0.000418555,0.000418555
45,624.818,0.32655,0.48462,0.96678,0.9345,0.57678,0.6735,0.61356,0.43405,0.60522,1.20467,0.000399219,0.000399219,0.000399219
46,638.782,0.35029,0.49388,0.98038,0.89713,0.60755,0.69299,0.63465,0.41094,0.57136,1.18218,0.000379883,0.000379883,0.000379883
47,652.771,0.33955,0.48159,0.96742,0.92132,0.57327,0.69542,0.6382,0.39228,0.60789,1.15776,0.000360547,0.000360547,0.000360547
48,666.718,0.3484,0.48676,0.96612,0.95044,0.57163,0.67004,0.6079,0.41592,0.53878,1.19358,0.000341211,0.000341211,0.000341211
49,680.785,0.33308,0.49341,0.96004,0.90915,0.60259,0.68928,0.61887,0.45062,0.58182,1.22672,0.000321875,0.000321875,0.000321875
